Kód;Obec;Voliči v seznamu;Vydané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
506761;Alojzov;205;145;144;32;0;0;0;1;17;6;0;29;0;1;0;0;1;0;5;0;1;4;15;5;18;9;0;0
589268;Bedihošť;834;527;524;140;1;0;0;0;123;26;0;51;0;2;1;0;0;0;13;1;14;2;82;6;34;28;0;0
589276;Bílovice-Lutotín;431;279;275;83;0;0;0;1;40;22;0;13;0;0;0;0;0;0;8;0;4;1;38;3;30;32;0;0
589284;Biskupice;238;132;131;34;0;0;0;0;24;10;0;14;0;1;0;2;0;0;5;0;1;2;19;0;10;9;0;0
589292;Bohuslavice;376;236;236;53;0;0;1;0;22;39;1;20;0;4;0;0;3;1;3;0;6;3;36;4;17;23;0;0
589306;Bousín;107;67;67;10;0;0;0;0;14;9;0;5;0;2;0;0;0;0;3;0;0;0;11;2;7;4;0;0
589314;Brodek u Konice;695;460;460;144;0;0;0;0;47;60;0;25;0;4;0;1;1;0;20;2;5;3;72;5;38;32;1;0
589322;Brodek u Prostějova;1224;656;655;202;1;0;0;4;61;53;2;54;1;4;0;0;3;1;21;2;11;5;107;22;57;42;2;0
589331;Březsko;178;111;111;36;0;0;0;0;3;17;0;9;0;3;0;1;0;0;6;0;1;0;13;2;10;9;0;1
589349;Budětsko;331;208;206;58;0;0;0;0;22;32;0;6;1;3;0;1;2;1;6;2;2;1;35;3;7;24;0;0
589357;Buková;264;170;169;35;0;0;1;0;33;25;0;16;1;0;0;0;0;0;3;0;3;2;15;2;14;19;0;0
589365;Čehovice;426;281;280;80;0;0;0;3;42;13;0;16;0;7;0;0;1;1;8;0;5;5;44;10;18;27;0;0
589381;Čechy pod Kosířem;814;512;512;140;0;0;0;3;79;47;0;25;0;7;1;2;0;0;20;0;6;7;70;7;31;66;0;1
589390;Čelčice;437;272;272;74;0;0;0;1;46;15;1;21;0;0;1;0;1;1;10;1;3;5;49;2;18;23;0;0
589403;Čelechovice na Hané;1063;649;642;198;1;1;0;6;76;32;0;49;1;3;0;0;0;2;63;2;0;2;103;15;43;45;0;0
589420;Dětkovice;427;284;281;82;1;0;0;1;47;36;0;19;2;4;0;0;0;0;6;0;4;2;25;2;38;12;0;0
589438;Dobrochov;270;172;170;51;0;0;0;0;13;17;0;13;0;2;1;0;0;1;7;0;3;5;25;5;13;14;0;0
589446;Dobromilice;629;308;308;95;0;4;1;0;42;36;0;9;0;0;0;0;0;1;14;2;1;1;68;0;10;22;2;0
589454;Doloplazy;459;244;244;71;0;0;0;1;37;8;0;24;1;0;0;0;2;0;5;0;3;2;56;0;12;20;1;1
589462;Drahany;443;290;287;70;0;0;0;1;44;17;0;11;1;6;0;0;1;2;28;0;6;2;51;9;9;29;0;0
558419;Držovice;1139;748;742;275;0;0;0;5;45;38;9;78;4;6;3;0;1;2;40;7;5;4;102;15;60;42;0;1
589489;Dřevnovice;380;220;219;68;0;0;0;0;28;32;0;6;0;1;0;0;0;0;4;0;0;1;38;2;24;15;0;0
589497;Dzbel;209;133;133;50;0;0;0;0;22;24;0;2;0;1;0;0;2;0;5;0;1;0;8;0;6;11;0;1
549967;Hačky;83;67;65;12;0;1;0;0;0;18;0;4;0;0;1;1;3;0;4;2;3;0;5;1;0;10;0;0
589501;Hluchov;292;174;173;61;0;0;0;1;25;9;0;9;0;0;0;0;0;0;4;0;6;5;36;1;7;9;0;0
589519;Horní Štěpánov;749;454;452;130;0;0;0;2;48;64;1;16;0;4;0;0;2;0;10;1;1;1;66;5;41;56;4;0
589527;Hradčany-Kobeřice;326;196;194;50;1;0;0;3;24;14;1;11;0;0;0;0;3;0;5;0;1;1;49;1;14;16;0;0
589535;Hrdibořice;178;109;109;27;0;0;0;0;22;5;0;12;0;0;0;0;0;0;2;1;3;1;20;3;10;3;0;0
589543;Hrubčice;617;376;374;129;0;0;0;3;44;28;0;35;0;4;0;0;2;0;14;2;4;0;41;9;35;24;0;0
543543;Hruška;191;90;88;33;0;0;0;1;18;6;0;3;0;0;0;0;0;0;4;0;0;0;17;1;4;1;0;0
589560;Hvozd;524;340;336;79;0;0;0;0;42;59;1;16;0;7;0;0;1;1;14;3;4;2;36;5;30;34;1;1
589578;Ivaň;390;238;237;63;0;0;0;0;36;23;0;32;0;3;0;0;1;0;1;2;0;1;44;9;15;7;0;0
589586;Jesenec;246;139;139;43;0;0;0;2;14;16;2;6;3;4;0;0;0;0;4;0;0;0;24;5;5;9;0;2
